2025/10/12 23:50:01.731481 [INFO] Log Publish not set, skipping...
2025/10/13 00:10:01.223996 [INFO] Log Publish not set, skipping...
2025/10/13 00:30:01.257021 [INFO] Log Publish not set, skipping...
2025/10/13 00:50:01.316443 [INFO] Log Publish not set, skipping...
2025/10/13 01:10:01.555969 [INFO] Log Publish not set, skipping...
2025/10/13 01:30:01.590146 [INFO] Log Publish not set, skipping...
2025/10/13 01:50:01.636548 [INFO] Log Publish not set, skipping...
2025/10/13 02:10:01.131476 [INFO] Log Publish not set, skipping...
2025/10/13 02:30:01.173244 [INFO] Log Publish not set, skipping...
2025/10/13 02:50:01.211834 [INFO] Log Publish not set, skipping...
2025/10/13 03:10:01.437751 [INFO] Log Publish not set, skipping...
2025/10/13 03:30:01.486697 [INFO] Log Publish not set, skipping...
2025/10/13 03:50:01.543660 [INFO] Log Publish not set, skipping...
2025/10/13 04:10:01.036646 [INFO] Log Publish not set, skipping...
2025/10/13 04:30:01.064272 [INFO] Log Publish not set, skipping...
2025/10/13 04:50:01.083410 [INFO] Log Publish not set, skipping...
2025/10/13 05:10:01.323192 [INFO] Log Publish not set, skipping...
2025/10/13 05:30:01.354479 [INFO] Log Publish not set, skipping...
2025/10/13 05:50:01.388460 [INFO] Log Publish not set, skipping...
2025/10/13 06:10:01.735652 [INFO] Log Publish not set, skipping...
2025/10/13 06:30:01.768582 [INFO] Log Publish not set, skipping...
2025/10/13 06:50:01.811278 [INFO] Log Publish not set, skipping...
2025/10/13 07:10:01.169462 [INFO] Log Publish not set, skipping...
2025/10/13 07:30:01.194731 [INFO] Log Publish not set, skipping...
2025/10/13 07:50:01.224103 [INFO] Log Publish not set, skipping...
2025/10/13 08:10:01.528722 [INFO] Log Publish not set, skipping...
2025/10/13 08:30:01.596104 [INFO] Log Publish not set, skipping...
2025/10/13 08:50:01.641764 [INFO] Log Publish not set, skipping...
2025/10/13 09:10:02.016513 [INFO] Log Publish not set, skipping...
2025/10/13 09:30:01.042392 [INFO] Log Publish not set, skipping...
2025/10/13 09:50:01.056811 [INFO] Log Publish not set, skipping...
